wavelet_mean,sample_entropy,shannon_entropy,rms,Label
8.480465996541522e-06,1.226872391883307,0.7408091415595138,8.577901695522743e-06,1
7.165857486437427e-06,1.23494781466878,0.712576632309023,8.488078680546317e-06,0
5.079578972168078e-06,1.328249832815841,0.841142911981343,5.103241328686002e-06,1
6.038301546236845e-06,0.8616343284954131,0.5780009803391805,8.514696781283239e-06,1
7.52545987471956e-06,0.9101741291846622,0.62208142367548,9.514464732160213e-06,0
7.047512975998333e-06,0.6564230788034002,0.4420204360838449,9.083984610731064e-06,0
3.024529111122846e-06,1.652385136035393,0.851332036035734,3.83232513736968e-06,1
5.893774167375112e-06,0.9391179198133408,0.5951507034587732,5.373587352051398e-06,0
8.735753549721459e-06,0.8555256345770185,0.5223146190794162,9.085939279953556e-06,0
7.877617118778003e-06,1.250835748995709,0.8086470168768771,8.201916595952445e-06,0
4.112401733391035e-05,0.2447076588933167,0.3739954742506118,4.493460036289165e-05,1
1.356141159048553e-05,0.4950880299779009,0.5706628225678392,2.084620799990696e-05,0
4.353663477207866e-06,1.613354204557131,0.9031182437261064,4.184338518437598e-06,1
6.868812966129708e-06,1.206528030237227,0.7442743760475605,6.214654393563733e-06,0
1.396383455441799e-05,0.9922048891373608,0.6738015827895438,1.218313912836031e-05,0
1.192700051604406e-05,0.6500721206214989,0.4163794166956115,1.321753470009554e-05,0
2.33570964808417e-06,1.660208953952554,0.908589179490788,2.904519488580663e-06,1
3.846355886876014e-06,1.243872864013355,0.730156788995925,3.512582141180343e-06,0
7.053891905180197e-05,0.0741868864153451,0.8641981876432079,0.0001016940540338,0
1.002489259003282e-05,0.5527953467925601,0.4783186460847407,2.122773037275317e-05,1
8.748121270786426e-06,0.0545242084601195,0.4537969553366207,2.367861344883513e-05,0
3.182083230544297e-06,1.334568183092751,0.78325062069309,2.945827033531503e-06,0
1.00471563675015e-05,0.9871831122943552,0.750897629488927,1.168362205640604e-05,1
1.389726691511293e-05,0.6922682018969454,0.5861413267431608,1.367888551421677e-05,0
1.203807911681824e-05,0.9783561421651564,0.7057766388409793,1.100929842264604e-05,0
8.42170496053934e-06,1.541275685210526,0.8552653021980888,8.17368402644676e-06,1
9.724029779252197e-06,0.6161796917815812,0.4689270507322921,1.545426204627047e-05,1
4.854510178039228e-06,1.237867209638981,0.7944971991477017,6.197791214119708e-06,1
1.433844014438393e-05,0.2847437166030814,0.4896314282763677,2.566866361256486e-05,1
1.10731377271148e-05,0.698205939368844,0.5815525350189751,1.704682463343709e-05,0
3.358956001675905e-06,1.361055147323976,0.8243466739086336,3.065660415385191e-06,0
6.752334161484368e-06,1.554605190057494,0.8467481307813091,6.430818078614767e-06,0
5.386086392502488e-06,1.576513513863184,0.91461429618132,5.871280222366086e-06,1
3.002534731094137e-05,0.2019841428937145,0.8246893863172213,3.983007719497749e-05,1
4.502111522647807e-05,0.0868687462080686,0.6428551553736456,7.151417252909272e-05,1
5.563288262163896e-06,1.665669809032446,0.7576401712065103,5.975466889694907e-06,0
3.871633077486406e-06,1.525085986412521,0.8445216387721072,3.908013400265188e-06,0
4.633143631313855e-06,1.151465519764774,0.7967024144233363,7.156032480026106e-06,1
1.135531022627655e-05,0.7703831822445802,0.8959949940400842,1.761727033081552e-05,1
4.0554129604781e-06,1.177972357025799,0.8060235310070542,4.335823770396048e-06,1
1.073214279831709e-05,0.9797382053574962,0.7180210931707474,1.164468117521576e-05,1
9.12489992127971e-06,0.8282228552936505,0.636215481144002,1.275988788003987e-05,0
8.086934732208033e-06,1.578896264033463,0.8628445500678719,8.067464635292463e-06,1
9.770645016617467e-06,0.5884860108956059,0.691238190434732,1.130389069277237e-05,0
1.754106170175022e-05,0.7657232240937109,0.5203554853997298,2.186601261084642e-05,1
4.011184193721533e-06,1.679785644212397,0.8426631831014748,4.412484927712324e-06,0
3.638226580934011e-06,1.529654973788751,0.859822805239497,3.737121484569893e-06,1
4.7224236916626e-06,0.7389340992722857,0.5951105985383204,5.996398049700935e-06,0
1.468554176925623e-05,0.4858865424670277,0.3930219329207127,1.626948723995758e-05,0
1.103125420873603e-05,1.138710214339665,0.6936524724882129,9.443758162373856e-06,1
5.852908564315712e-06,1.237579562729296,0.7949742434396047,5.685226818358045e-06,0
3.125373090091019e-05,0.090206047196365,0.8000259959041698,5.763381442699012e-05,1
1.071172897978682e-05,1.197753485864127,0.7216814241644324,9.528621723168283e-06,1
1.186581585675787e-05,0.10941841581909,0.4796816940198678,2.53025478403424e-05,0
6.271978289921393e-06,0.9057896158476414,0.6624424045621145,6.865086352352407e-06,0
5.27645830335281e-06,1.671359528397518,0.7249091913755791,5.75253112564243e-06,1
1.405000842141795e-05,0.4512815606978655,0.4978665545981953,1.852753543315179e-05,0
